서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율
제과/음료,1087075760,145455,37,63,4,51,19
학원,78715357,386,26,74,0,0,16
학원,168388477,1128,36,64,2,32,9
스포츠,111023531,660,35,65,1,4,24
의원,491281824,33860,46,54,0,8,19
의원,941777063,6859,44,57,0,5,15
여가,109596543,5082,84,17,2,9,11
여가,176644626,36982,86,14,8,67,18
스포츠,41938333,412,54,46,3,14,19
미용,49968892,1683,36,64,5,9,10
미용,1626008,15,0,100,0,0,24
미용,7431436,14,100,0,0,0,0
여가,274001664,40399,66,34,8,51,14
마트/편의점,178805442,30841,72,28,7,25,23
마트/편의점,1562951073,347647,69,32,4,42,19
생활,69215346,69,0,100,0,0,0
생활,8026797,804,67,33,0,0,0
농수산물,61046871,2175,54,47,0,5,10
농수산물,59105806,1188,56,44,0,26,19
의류/신발,12107892,264,13,87,0,12,51
생활,121079771,1369,59,41,2,15,10
의원,14811987,20,0,100,0,0,100
서적/문구,202957795,8178,28,72,3,29,9
미용,50164600,1152,12,88,0,57,3
생활,60652033,262,39,61,0,0,64
생활,75307132,154,88,12,0,3,0
생활,183554964,1617,0,100,0,52,36
